id,nome
283,"Vila Nova Cachoeirinha I"
284,Belmonte
285,Penha
286,Alpes
287,Petrópolis
288,Mariquinhas
289,Esperança
290,"Ernesto do Nascimento"
291,"Vila Santa Mônica"
292,"Vila Aeroporto"
293,"Granja Werneck (ZN)"
294,"Granja Werneck (ZL)"
295,Braúnas
296,"Águas Claras"
297,"Alta Tensão I"
298,"Frei Leopoldo"
299,Universitário
300,Suzana
301,Mangabeiras
302,"Vila Madre Gertrudes I"
303,"Vila Mangueiras"
304,"Barão Homem de Melo I"
305,"Vila São Paulo"
306,"Túnel de Ibirité"
307,Imbaúbas
308,"Ademar Maldonado"
309,Itatiaia
310,"João Paulo II"
311,Comiteco
312,"Conjunto Califórnia II"
313,Jardinópolis
314,"São Jorge I"
315,"Vila Ecológica"
316,"Vila Jardim São José"
317,"Vila Piratininga"
318,"São João"
319,Biquinhas
320,Tiradentes
321,"Pousada Santo Antônio"
322,"Vila Nossa Senhora Aparecida"
323,"Vila Antena"
324,"São Benedito"
325,Estrela
326,"Vila Átila de Paiva"
327,"Olhos d'Água"
328,"Vila Coqueiral"
329,"Cidade Jardim"
330,"Vila Trinta e Um de Março"
331,"São José"
332,Solimões
333,Bernadete
334,Xodó-Marize
335,"Vila da Luz"
336,"Jardim Atlântico"
337,"Vila Formosa"
338,"Vila Nova Gameleira II"
339,"Vila Santa Rosa"
340,"Engenho Nogueira"
341,"Vila Copacabana"
342,"São Francisco das Chagas"
343,"Vila Oeste"
344,Aeroporto
345,"Beija Flor"
346,"Capitão Eduardo"
347,"Marieta I"
348,"Átila de Paiva"
349,"Vila São Rafael"
350,"Vitória da Conquista"
351,"Acaba Mundo"
352,"Conjunto Santa Maria"
353,"Jardim do Vale"
354,"Monte São José"
355,"Álvaro Camargos"
356,"Sport Club"
357,"Bairro das Indústrias II"
358,"Conjunto Bonsucesso"
359,"Vila Dias"
360,"Vila Esplanada"
361,"Vila Independência II"
362,"Vila de Sá"
363,Garças
364,"Vila Boa Vista"
365,Delta
366,Corumbiara
367,Madri
368,Pantanal
369,"Conjunto Floramar"
370,"Vila Pilar"
371,"Vila Olhos d'Água"
372,Marilândia
373,Virgínia
374,"Vila Minaslândia"
375,"Vila Nova Gameleira I"
376,"Vila dos Anjos"
377,Ambrosina
378,Andiroba
379,Marmiteiros
380,Guaratã
381,"Vila União"
382,"Vila Mantiqueira"
383,"Conjunto Novo Dom Bosco"
384,"Vila Nova Paraíso"
385,"Vila Paquetá"
386,"Vila Inestan"
387,"Vila São Gabriel Jacuí"
388,"Vila Nova Cachoeirinha IV"
389,"Vila Real II"
390,"Vila Nossa Senhora do Rosário"
391,"Vila Santo Antônio Barroquinha"
392,"Vila Madre Gertrudes II"
393,"Bela Vitória"
394,"Vila Maloca"
395,"Conjunto Lagoa"
396,"Vila Suzana I"
397,"Distrito Industrial do Jatobá"
398,Pirineus
399,"Vila Aeroporto Jaraguá"
400,"Vila Nova"
401,"Vila Ouro Minas"
402,"Três Marias"
403,"Vila Nova dos Milionários"
404,Mirante
405,"Vila Bandeirantes"
406,"Boa Esperança"
407,"Vila da Paz"
408,"Vila Calafate"
409,"São Vicente"
410,"Novo Ouro Preto"
411,Canadá
412,"Antônio Ribeiro de Abreu"
413,Satélite
414,"Vila Antena Montanhês"
415,Grotinha
416,"Cônego Pinheiro"
417,"Chácara Leonina"
418,"Vila Madre Gertrudes III"
419,"Vila São Gabriel"
420,"Vila Paraíso"
421,Ápia
422,"Vila da Amizade"
423,"Alta Tensão"
424,"João Alfredo"
425,"Alto das Antenas"
426,"Maria Teresa"
427,"Caetano Furquim"
428,"Vila Independência IV"
429,Unidas
430,"Vila Piratininga Venda Nova"
431,"São Sebastião"
432,"Nova Pampulha"
433,"Vila Havaí"
434,Mirtes
435,"Serra do Curral"
436,"Vila Sesc"
437,"Morro dos Macacos"
438,"Vila da Área"
439,"Vila Santo Antônio"
440,Flamengo
441,Gameleira
442,"Vila Copasa"
